Month,revenue,RemoveAVG
2003Jan,26267.62,-268860.3543
2003Feb,144384.36,-150743.6143
2003Mar,199704.48,-95423.49433
2003Apr,136313.92,-158814.0543
2003May,159881.97,-135246.0043
2003Jun,180218.98,-114908.9943
2003Jul,158247,-136880.9743
2003Aug,246204.86,-48923.11433
2003Sep,161206.23,-133921.7443
2003Oct,316857.96,21729.98567
2003Nov,694292.68,399164.7057
2003Dec,826637.64,531509.6657
2004Jan,234152.13,-60975.84433
2004Feb,106652.01,-188475.9643
2004Mar,404603.21,109475.2357
2004Apr,173245.96,-121882.0143
2004May,208524.42,-86603.55433
2004Jun,185842.86,-109285.1143
2004Jul,284191.48,-10936.49433
2004Aug,378094.3,82966.32567
2004Sep,476445.53,181317.5557
2004Oct,185103.43,-110024.5443
2004Nov,857187.3,562059.3257
2004Dec,819285.62,524157.6457
2005Jan,137468.06,-157659.9143
2005Feb,252321.22,-42806.75433
2005Mar,385268.09,90140.11567
2005Apr,183897.72,-111230.2543
2005May,272248.93,-22879.04433
2005Jun,59089.26,-236038.7143